date,close,rsi,macd_hist,regime,state,entry_signal
2026-07-24,1941.1,60.0,-1.1,up,FLAT,False
2026-07-27,1973.7,66.3,-0.2,up,FLAT,False
2026-07-28,1976.7,66.8,0.3,up,FLAT,False
2026-07-29,1989.9,69.1,1.1,up,FLAT,False
2026-07-30,2001.1,70.9,2.1,up,FLAT,False
2026-07-31,1990.5,66.9,1.6,up,FLAT,False
2026-08-04,1964.0,58.1,-2.5,up,FLAT,False
2026-08-05,1940.0,51.1,-5.3,up,FLAT,False
2026-08-07,1945.0,52.1,-7.2,up,FLAT,False
2026-08-10,1944.4,51.9,-7.7,up,FLAT,False
2026-08-11,1942.0,51.2,-7.9,up,FLAT,False
2026-08-12,1944.0,52.2,-7.8,up,FLAT,False
2026-08-13,1932.0,47.8,-8.2,up,FLAT,False
2026-08-14,1930.0,47.2,-8.3,up,FLAT,False
2026-08-17,1882.0,34.9,-11.2,up,FLAT,False
